IDX_RADIC;VARIABLE_CIBLE
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
0.25;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
0.16666667;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.25;NOT GRANTED
0.5;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.38461538;GRANTED
0.25;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
0.625;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
0.75;NOT GRANTED
1.0;GRANTED
0.85714286;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.33333333;GRANTED
1.0;GRANTED
0.4;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
0.66666667;GRANTED
0.83333333;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
0.5;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.8;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
0.6;GRANTED
1.0;GRANTED
0.14285714;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
0.5;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.625;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
0.71428571;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.33333333;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;NOT GRANTED
0.5;GRANTED
1.0;GRANTED
1.0;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
0.57142857;GRANTED
1.0;NOT GRANTED
1.0;GRANTED
1.0;GRANTED
